GEOGRAPHY_ID,GEOGRAPHY_ID_TYPE,GEOGRAPHY_NAME,GEOGRAPHY_TYPE,GEOGRAPHY_COMMUNITY_NAME,GEOGRAPHY_COMMUNITY_ID,PDX18_TYPE,COO16_TYPE,COO18_TYPE,COOREV18_MF_TYPE,COOREV18_SF_TYPE
53033001800,GEOID,"Census Tract 18, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033001900,GEOID,"Census Tract 19, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002000,GEOID,"Census Tract 20, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002100,GEOID,"Census Tract 21, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033002200,GEOID,"Census Tract 22, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002400,GEOID,"Census Tract 24, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002500,GEOID,"Census Tract 25, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002600,GEOID,"Census Tract 26, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002700,GEOID,"Census Tract 27, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033002800,GEOID,"Census Tract 28, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033002900,GEOID,"Census Tract 29, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033003000,GEOID,"Census Tract 30, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033003100,GEOID,"Census Tract 31, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033003200,GEOID,"Census Tract 32, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033003300,GEOID,"Census Tract 33, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033003400,GEOID,"Census Tract 34, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033003500,GEOID,"Census Tract 35, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033003600,GEOID,"Census Tract 36, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033003800,GEOID,"Census Tract 38, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033003900,GEOID,"Census Tract 39, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004000,GEOID,"Census Tract 40, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004100,GEOID,"Census Tract 41, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004200,GEOID,"Census Tract 42, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004301,GEOID,"Census Tract 43.01, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004302,GEOID,"Census Tract 43.02, King County, Washington",tract,NA,NA,Late,NA,NA,Dynamic,NA
53033004400,GEOID,"Census Tract 44, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033004500,GEOID,"Census Tract 45, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033004600,GEOID,"Census Tract 46, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033004700,GEOID,"Census Tract 47, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004800,GEOID,"Census Tract 48, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033004900,GEOID,"Census Tract 49, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005000,GEOID,"Census Tract 50, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033005100,GEOID,"Census Tract 51, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005200,GEOID,"Census Tract 52, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005301,GEOID,"Census Tract 53.01, King County, Washington",tract,NA,NA,Susceptible,NA,NA,Early Type 1,NA
53033005302,GEOID,"Census Tract 53.02, King County, Washington",tract,NA,NA,NA,NA,NA,Early Type 1,NA
53033005400,GEOID,"Census Tract 54, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033005600,GEOID,"Census Tract 56, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005700,GEOID,"Census Tract 57, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033005801,GEOID,"Census Tract 58.01, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005802,GEOID,"Census Tract 58.02, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033005900,GEOID,"Census Tract 59, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033006000,GEOID,"Census Tract 60, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006100,GEOID,"Census Tract 61, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006200,GEOID,"Census Tract 62, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006300,GEOID,"Census Tract 63, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006400,GEOID,"Census Tract 64, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006500,GEOID,"Census Tract 65, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033006600,GEOID,"Census Tract 66, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006700,GEOID,"Census Tract 67, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006800,GEOID,"Census Tract 68, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033006900,GEOID,"Census Tract 69, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033007000,GEOID,"Census Tract 70, King County, Washington",tract,NA,NA,Continued Loss,NA,NA,NA,NA
53033007100,GEOID,"Census Tract 71, King County, Washington",tract,NA,NA,NA,NA,NA,NA,NA
53033007200,GEOID,"Census Tract 72, King County, Washington",tract,NA,NA,Late,NA,NA,Late,NA
53033007300,GEOID,"Census Tract 73, King County, Washington",tract,NA,NA,Dynamic,NA,NA,Late,NA
